CHR	POS	SNP	N	EFFECT_ALLELE	NON_EFFECT_ALLELE	EFFECT_ALLELE_FREQ	BETA	SE	r2	r2hat	P_VAL
2	169113021	rs1377502	1467	4	2	0.422972	0.02076	0.03799	0.0002037	0.97	0.588
2	169113606	rs13390536	1467	4	2	0.190184	-0.04124	0.04674	0.000531	0.978	0.3817
2	169115592	rs2602569	1467	2	4	0.0783913	-0.0696	0.06837	0.0007069	0.962	0.3128
2	169116452	rs2724155	1467	2	1	0.0783913	-0.0696	0.06837	0.0007069	0.964	0.3128
2	169116519	rs2601097	1467	3	4	0.422631	0.01941	0.03797	0.0001784	0.983	0.6122
2	169116896	rs1453407	1467	1	2	0.0985003	0.08593	0.06322	0.001259	0.54	0.1778
2	169118121	rs11691260	1467	1	3	0.0330607	0.006368	0.1029	2.617e-06	0.941	0.951
2	169119728	rs2601096	1467	3	1	0.0330607	0.006368	0.1029	2.617e-06	0.942	0.951
2	169120658	rs2601094	1467	1	3	0.422631	0.01941	0.03797	0.0001784	0.999	0.6122
2	169121384	rs13407559	1467	2	1	0.203476	-0.04511	0.04603	0.0006553	0.991	0.3311
2	169124001	rs13415496	1467	3	1	0.0892979	-0.1774	0.06424	0.00518	0.98	0.006227
2	169124107	rs974597	1467	4	2	0.411384	0.0236	0.03813	0.0002614	0.937	0.5394
2	169124579	rs10198358	1467	2	1	0.203476	-0.04511	0.04603	0.0006553	0.996	0.3311
2	169125039	rs17806793	1467	2	4	0.270279	0.01492	0.04167	8.75e-05	0.999	0.7225
2	169125555	rs1124893	1467	1	3	0.373892	0.01156	0.03845	6.173e-05	0.999	0.7655
2	169128749	rs1377504	1467	3	1	0.270279	0.01492	0.04167	8.75e-05	0.999	0.7225
2	169132086	rs2724184	1467	4	2	0.422631	0.01941	0.03797	0.0001784	1	0.6122
2	169133738	rs1453405	1467	2	4	0.389571	0.01897	0.0384	0.0001665	0.988	0.6243
2	169140127	rs4143278	1467	3	1	0.0330607	0.006368	0.1029	2.617e-06	0.94	0.951
2	169145504	rs4668066	1467	3	2	0.332652	-0.02443	0.03915	0.0002657	0.964	0.5361
2	169149047	rs1453406	1467	2	4	0.273347	-0.06231	0.0411	0.001566	0.964	0.1329
2	169149764	rs4143277	1467	4	2	0.0330607	0.006368	0.1029	2.617e-06	0.934	0.951
2	169150722	rs9653285	1467	1	4	0.0330607	0.006368	0.1029	2.617e-06	0.933	0.951
2	169153502	rs10497341	1467	4	1	0.0330607	0.006368	0.1029	2.617e-06	0.932	0.951
2	169155512	rs10201462	1467	3	1	0.273347	-0.05357	0.04097	0.001166	0.974	0.1948
2	169155563	rs17807296	1467	1	3	0.0330607	0.006368	0.1029	2.617e-06	0.931	0.951
2	169156891	rs7581474	1467	2	3	0.0330607	0.006368	0.1029	2.617e-06	0.932	0.951
2	169157590	rs10179586	1467	4	2	0.338787	-0.02058	0.03863	0.0001937	0.997	0.5973
2	169161128	rs4143279	1467	1	3	0.262781	0.01891	0.04228	0.0001365	0.957	0.6574
2	169163049	rs16855371	1467	3	2	0.0610089	0.01751	0.07831	3.412e-05	0.617	0.8245
2	169164315	rs16855373	1467	2	3	0.0289707	0.1356	0.109	0.001055	0.927	0.2174
2	169164336	rs7557806	1467	3	1	0.339127	-0.01833	0.03864	0.0001536	0.989	0.638
2	169164683	rs16855376	1467	1	3	0.0289707	0.1356	0.109	0.001055	0.926	0.2174
2	169164990	rs10497342	1467	1	3	0.0289707	0.1356	0.109	0.001055	0.926	0.2174
2	169165636	rs16855379	1467	2	4	0.0334015	0.02115	0.1024	2.912e-05	0.907	0.8377
2	169166875	rs6730809	1467	1	3	0.0334015	0.02115	0.1024	2.912e-05	0.904	0.8377
2	169167230	rs6733926	1467	1	3	0.0334015	0.02115	0.1024	2.912e-05	0.901	0.8377
2	169167303	rs6748860	1467	1	4	0.0334015	0.02115	0.1024	2.912e-05	0.898	0.8377
2	169167659	rs13402102	1467	1	3	0.0334015	0.02115	0.1024	2.912e-05	0.894	0.8377
2	169167733	rs13427333	1467	3	1	0.0334015	0.02115	0.1024	2.912e-05	0.89	0.8377
2	169167764	rs13427346	1467	3	1	0.0334015	0.02115	0.1024	2.912e-05	0.886	0.8377
2	169167857	rs1993223	1467	2	1	0.0334015	0.02115	0.1024	2.912e-05	0.884	0.8377
2	169168168	rs1993222	1467	1	3	0.0337423	0.03206	0.1019	6.753e-05	0.88	0.7551
2	169168278	rs1993221	1467	1	4	0.0337423	0.03206	0.1019	6.753e-05	0.877	0.7551
2	169168681	rs10209582	1467	2	1	0.0337423	0.03206	0.1019	6.753e-05	0.875	0.7551
2	169168712	rs16855383	1467	3	1	0.0337423	0.03206	0.1019	6.753e-05	0.871	0.7551
2	169169731	rs6742527	1467	1	3	0.0245399	-0.02412	0.1209	2.718e-05	0.517	0.8431
2	169170430	rs2045041	1467	1	3	0.0337423	0.03206	0.1019	6.753e-05	0.866	0.7551
2	169170760	rs6746493	1467	1	3	0.0337423	0.03206	0.1019	6.753e-05	0.863	0.7551
2	169170916	rs6718042	1467	2	1	0.0334015	0.04102	0.1024	0.0001095	0.86	0.6911
2	169171622	rs13429785	1467	2	4	0.0334015	0.04102	0.1024	0.0001095	0.858	0.6911
2	169172850	rs12052554	1467	3	1	0.0334015	0.04102	0.1024	0.0001095	0.852	0.6911
2	169173392	rs12053338	1467	1	3	0.0334015	0.04102	0.1024	0.0001095	0.849	0.6911
2	169176638	rs11897514	1467	1	2	0.0334015	0.04102	0.1024	0.0001095	0.847	0.6911
2	169177460	rs13007801	1467	1	3	0.407975	0.01285	0.03791	7.837e-05	0.926	0.7368
2	169177767	rs10174987	1467	1	3	0.100204	-0.1053	0.06092	0.002033	0.999	0.0868
2	169177913	rs16855390	1467	4	3	0.0334015	0.04102	0.1024	0.0001095	0.837	0.6911
2	169178556	rs7605045	1467	4	2	0.0334015	0.04102	0.1024	0.0001095	0.833	0.6911
2	169178864	rs7605379	1467	3	2	0.0334015	0.04102	0.1024	0.0001095	0.828	0.6911
2	169178874	rs6433070	1467	1	2	0.0633947	0.09316	0.07528	0.001044	0.892	0.2198
2	169179114	rs3172068	1467	2	4	0.0296524	0.1282	0.1079	0.0009628	0.938	0.2387
2	169181521	rs6712205	1467	1	3	0.0296524	0.1282	0.1079	0.0009628	0.94	0.2387
2	169181838	rs6712374	1467	2	4	0.0109066	0.09025	0.1733	0.000185	0.693	0.6056
2	169182512	rs7581150	1467	2	4	0.0109066	0.09025	0.1733	0.000185	0.697	0.6056
2	169182646	rs964987	1467	3	1	0.458759	0.02556	0.03715	0.0003232	0.774	0.4949
2	169184589	rs13418389	1467	4	1	0.0109066	0.09025	0.1733	0.000185	0.699	0.6056
2	169186545	rs1901836	1467	4	2	0.0109066	0.09025	0.1733	0.000185	0.703	0.6056
2	169186637	rs1901837	1467	1	2	0.0109066	0.09025	0.1733	0.000185	0.705	0.6056
2	169186706	rs11888917	1467	2	4	0.0109066	0.09025	0.1733	0.000185	0.706	0.6056
2	169187049	rs12479292	1467	4	2	0.44274	0.001266	0.03806	7.551e-07	0.999	0.9737
2	169187702	rs10167161	1467	1	3	0.0109066	0.09025	0.1733	0.000185	0.706	0.6056
2	169187959	rs16855415	1467	2	4	0.0109066	0.09025	0.1733	0.000185	0.706	0.6056
2	169188341	rs11886077	1467	1	3	0.0109066	0.09025	0.1733	0.000185	0.705	0.6056
2	169190011	rs1840172	1467	2	4	0.0109066	0.09025	0.1733	0.000185	0.705	0.6056
2	169191021	rs13396061	1467	4	2	0.0109066	0.09025	0.1733	0.000185	0.704	0.6056
2	169191510	rs17808106	1467	4	2	0.359577	-0.09008	0.03857	0.00371	0.908	0.02066
2	169192255	rs7584363	1467	4	2	0.0109066	0.09025	0.1733	0.000185	0.703	0.6056
2	169193023	rs7599295	1467	1	4	0.0109066	0.09025	0.1733	0.000185	0.703	0.6056
2	169193454	rs6739200	1467	4	3	0.0109066	0.09025	0.1733	0.000185	0.703	0.6056
2	169193526	rs6710428	1467	3	1	0.0105658	0.09393	0.1759	0.0001947	0.702	0.5964
2	169194305	rs13384203	1467	4	1	0.0105658	0.09393	0.1759	0.0001947	0.702	0.5964
2	169196279	rs11890130	1467	3	2	0.0105658	0.09393	0.1759	0.0001947	0.702	0.5964
2	169196521	rs1993224	1467	3	1	0.265167	0.05976	0.04212	0.001372	0.991	0.1595
2	169198736	rs13419014	1467	2	4	0.253579	-0.06622	0.04236	0.001665	0.999	0.1212
2	169200042	rs2060930	1467	4	3	0.316973	-0.04284	0.04021	0.0007742	0.998	0.2908
2	169200269	rs10930325	1467	2	4	0.316973	-0.04284	0.04021	0.0007742	0.994	0.2908
2	169201127	rs16855438	1467	1	3	0.289707	-0.05121	0.04104	0.001062	0.991	0.216
2	169201501	rs6721420	1467	3	1	0.0368098	0.0163	0.09902	1.85e-05	0.984	0.8703
2	169203454	rs10930327	1467	2	4	0.302318	-0.03363	0.04021	0.0004772	0.927	0.4069
2	169203799	rs10202908	1467	2	4	0.310157	-0.02001	0.03974	0.000173	0.92	0.6176
2	169204351	rs17202193	1467	3	1	0.261418	-0.02927	0.04139	0.0003413	0.924	0.4831
2	169205060	rs10930329	1467	3	1	0.244376	-0.05989	0.04268	0.001342	0.993	0.1642
2	169205267	rs10930330	1467	3	2	0.244376	-0.05989	0.04268	0.001342	0.996	0.1642
2	169207849	rs1020603	1467	1	3	0.465917	-0.008269	0.03699	3.41e-05	0.934	0.8246
2	169208109	rs17202318	1467	3	1	0.247785	-0.03989	0.04277	0.0005934	0.917	0.3551
2	169208644	rs13422496	1467	1	3	0.123381	-0.05994	0.05692	0.0007565	0.935	0.2964
2	169208715	rs13396852	1467	3	1	0.244376	-0.05989	0.04268	0.001342	0.979	0.1642
2	169210881	rs13429967	1467	1	3	0.123381	-0.06267	0.05691	0.0008268	0.929	0.275
2	169211095	rs17808500	1467	2	4	0.225971	0.0527	0.04492	0.0009384	0.931	0.2448
2	169212377	rs13398999	1467	2	4	0.244376	-0.05989	0.04268	0.001342	0.968	0.1642
2	169212543	rs13399201	1467	2	4	0.244376	-0.05989	0.04268	0.001342	0.965	0.1642
2	169212842	rs16855446	1467	4	2	0.0265849	0.07352	0.1134	0.0002871	0.961	0.5201
2	169214598	rs13393173	1467	1	3	0.244376	-0.05989	0.04268	0.001342	0.95	0.1642
2	169215705	rs13396855	1467	1	3	0.244376	-0.05989	0.04268	0.001342	0.945	0.1642
2	169216563	rs12473547	1467	2	3	0.293797	-0.008987	0.04099	3.281e-05	0.871	0.8279
2	169216572	rs12473551	1467	2	3	0.239605	-0.009656	0.04361	3.346e-05	0.771	0.8262
2	169217410	rs13006127	1467	4	2	0.482958	0.004503	0.03759	9.799e-06	0.934	0.9054
2	169218655	rs7596085	1467	3	1	0.0371506	0.01327	0.09861	1.236e-05	0.959	0.8938
2	169219376	rs4668070	1467	2	4	0.248807	-0.06079	0.04244	0.001398	0.921	0.1556
2	169221912	rs13432604	1467	3	2	0.24199	-0.06857	0.04284	0.001746	0.921	0.1126
2	169222002	rs13432708	1467	4	2	0.24199	-0.06857	0.04284	0.001746	0.922	0.1126
2	169225275	rs17202645	1467	4	2	0.185412	0.01803	0.04735	9.897e-05	0.873	0.7057
2	169226438	rs13031884	1467	4	1	0.418882	-0.032	0.03734	0.0005012	0.853	0.3954
2	169226658	rs13032343	1467	4	1	0.29516	0.00171	0.04074	1.202e-06	0.866	0.9668
2	169226785	rs11695350	1467	4	2	0.25426	0.05449	0.04308	0.001091	0.839	0.2098
2	169227258	rs17808818	1467	3	2	0.0903204	-0.06239	0.06494	0.0006296	0.812	0.3408
2	169227634	rs716335	1467	1	3	0.42195	-0.03494	0.03739	0.0005957	0.854	0.3541
2	169229228	rs17202792	1467	4	2	0.0899796	-0.05747	0.06503	0.0005328	0.807	0.3809
2	169230839	rs17202869	1467	3	1	0.0899796	-0.05747	0.06503	0.0005328	0.806	0.3809
2	169232598	rs11682385	1467	2	3	0.157123	0.002886	0.05052	2.229e-06	0.853	0.9548
2	169233819	rs10209767	1467	3	1	0.0899796	-0.05747	0.06503	0.0005328	0.796	0.3809
2	169233964	rs16855476	1467	3	1	0.0368098	0.001039	0.09902	7.516e-08	0.951	0.9917
2	169241280	rs4668074	1467	4	2	0.143149	-0.06516	0.05301	0.00103	0.923	0.2229
2	169242338	rs4667581	1467	3	1	0.153715	-0.06103	0.05168	0.000951	0.867	0.2417
2	169244153	rs17203177	1467	3	2	0.300613	-0.001253	0.04058	6.509e-07	0.849	0.9756
2	169245026	rs6724512	1467	2	4	0.152011	-0.05085	0.05168	0.0006604	0.947	0.3292
2	169248523	rs17809316	1467	4	2	0.145876	-0.06324	0.05247	0.0009905	0.96	0.2321
2	169250548	rs4668076	1467	1	3	0.152011	-0.05085	0.05168	0.0006604	0.962	0.3292
2	169251426	rs10930332	1467	3	4	0.152011	-0.05085	0.05168	0.0006604	0.971	0.3292
2	169251740	rs10930333	1467	4	2	0.152011	-0.05085	0.05168	0.0006604	0.976	0.3292
2	169251850	rs10211195	1467	1	3	0.145876	-0.06324	0.05247	0.0009905	0.985	0.2321
2	169253276	rs1813595	1467	4	2	0.151329	-0.06493	0.05186	0.001069	0.892	0.2145
2	169253523	rs989106	1467	4	2	0.145876	-0.06324	0.05247	0.0009905	1	0.2321
2	169254342	rs7605770	1467	4	1	0.145876	-0.06324	0.05247	0.0009905	1	0.2321
2	169254727	rs1869368	1467	1	3	0.145876	-0.06324	0.05247	0.0009905	1	0.2321
2	169254742	rs1869369	1467	2	4	0.152011	-0.05085	0.05168	0.0006604	1	0.3292
2	169255872	rs6705232	1467	4	2	0.145876	-0.06324	0.05247	0.0009905	0.998	0.2321
2	169258840	rs1869370	1467	4	2	0.145876	-0.06324	0.05247	0.0009905	0.997	0.2321
2	169261389	rs11691693	1467	1	3	0.190866	-0.04159	0.04745	0.0005242	0.994	0.3848
2	169262241	rs10205812	1467	3	1	0.0374915	-0.006114	0.09821	2.646e-06	0.972	0.9508
2	169264793	rs7583332	1467	2	1	0.0374915	-0.006114	0.09821	2.646e-06	0.974	0.9508
2	169265355	rs4668077	1467	1	3	0.191888	-0.04069	0.04741	0.0005025	0.996	0.3948
2	169266817	rs6757628	1467	1	3	0.191888	-0.04069	0.04741	0.0005025	0.992	0.3948
2	169268335	rs13029022	1467	2	4	0.191888	-0.04069	0.04741	0.0005025	0.99	0.3948
2	169271144	rs13428127	1467	2	4	0.0371506	0.02194	0.09861	3.378e-05	0.963	0.8254
2	169272472	rs16855554	1467	2	3	0.0371506	0.02194	0.09861	3.378e-05	0.956	0.8254
2	169273538	rs719970	1467	4	2	0.184731	-0.0514	0.0479	0.0007854	0.982	0.2873
2	169274130	rs10180902	1467	3	1	0.0327198	0.01901	0.1012	2.409e-05	0.545	0.8522
2	169274252	rs16855565	1467	3	1	0.0368098	0.02504	0.09902	4.364e-05	0.943	0.802
2	169277283	rs1840171	1467	4	2	0.0429448	0.05529	0.0924	0.0002444	0.93	0.5529
2	169277369	rs13417559	1467	1	3	0.144853	-0.0499	0.05257	0.0006146	0.983	0.3466
2	169279200	rs6759728	1467	4	3	0.036469	0.01266	0.09944	1.106e-05	0.935	0.8996
2	169281004	rs16855584	1467	2	4	0.036469	0.01266	0.09944	1.106e-05	0.932	0.8996
2	169281600	rs17204717	1467	1	3	0.141445	-0.05184	0.05303	0.000652	0.886	0.3324
2	169284880	rs11678181	1467	3	2	0.18848	-0.007264	0.04744	1.6e-05	0.955	0.8793
2	169289379	rs13390585	1467	3	2	0.144853	-0.0397	0.05258	0.000389	0.983	0.454
2	169291010	rs1901834	1467	1	3	0.0402181	0.02856	0.09516	6.148e-05	0.917	0.766
2	169291441	rs13423244	1467	3	1	0.145535	-0.04157	0.05251	0.0004275	0.983	0.4325
2	169291512	rs13398133	1467	1	3	0.209952	-0.02261	0.04578	0.0001664	0.892	0.6244
2	169297140	rs12615938	1467	3	2	0.300273	-0.004811	0.04044	9.662e-06	0.994	0.9061
2	169302472	rs7574536	1467	3	1	0.220859	0.006695	0.04413	1.571e-05	0.982	0.8804
2	169303321	rs1002667	1467	3	1	0.220859	0.006695	0.04413	1.571e-05	0.985	0.8804
2	169308800	rs12329085	1467	1	3	0.22529	0.01488	0.04399	7.812e-05	0.997	0.7372
2	169311146	rs4668079	1467	3	1	0.22529	0.01488	0.04399	7.812e-05	0.991	0.7372
2	169313175	rs4667585	1467	1	2	0.22529	0.01488	0.04399	7.812e-05	0.985	0.7372
2	169315041	rs10186450	1467	2	4	0.144853	-0.0448	0.05257	0.0004955	0.999	0.3981
2	169315454	rs10189241	1467	2	4	0.2212	0.008267	0.04413	2.396e-05	0.967	0.8526
2	169315880	rs10200509	1467	4	1	0.2212	0.008267	0.04413	2.396e-05	0.96	0.8526
2	169316103	rs1574437	1467	2	4	0.370143	-0.0126	0.03847	7.319e-05	0.967	0.7454
2	169318714	rs2390725	1467	4	1	0.22529	0.01488	0.04399	7.812e-05	0.952	0.7372
2	169321754	rs6433078	1467	2	4	0.22529	0.01488	0.04399	7.812e-05	0.941	0.7372
2	169322159	rs6433079	1467	2	1	0.2212	0.008267	0.04413	2.396e-05	0.931	0.8526
2	169323574	rs4233819	1467	3	1	0.0173824	0.1313	0.1397	0.0006021	0.335	0.3516
2	169323696	rs4668086	1467	3	1	0.205181	0.04629	0.04608	0.0006882	0.877	0.3192
2	169323719	rs4294968	1467	4	2	0.195297	0.05871	0.04666	0.00108	0.88	0.2122
2	169323999	rs4313942	1467	1	3	0.17212	0.06878	0.04906	0.00134	0.967	0.1646
2	169324426	rs6433081	1467	2	3	0.17212	0.06878	0.04906	0.00134	0.974	0.1646
2	169324493	rs6433082	1467	1	2	0.17212	0.06878	0.04906	0.00134	0.984	0.1646
2	169324749	rs7591129	1467	4	2	0.0194274	-0.02006	0.1351	1.504e-05	0.806	0.883
2	169324821	rs6433083	1467	3	1	0.17212	0.06878	0.04906	0.00134	1	0.1646
2	169324842	rs7591406	1467	1	3	0.17212	0.06878	0.04906	0.00134	1	0.1646
2	169326440	rs1863147	1467	4	3	0.171779	0.06649	0.0492	0.001245	1	0.1803
2	169327355	rs4668089	1467	3	4	0.21302	0.07397	0.04549	0.001802	0.966	0.107
2	169331726	rs1834271	1467	4	2	0.172461	0.06806	0.04904	0.001313	0.928	0.1689
2	169332386	rs1806328	1467	3	1	0.437969	0.04824	0.03841	0.001075	0.855	0.2131
2	169335199	rs6707065	1467	3	2	0.277778	0.06384	0.04093	0.001658	0.928	0.1221
2	169335907	rs17249307	1467	3	2	0.182345	0.09571	0.04829	0.002674	0.919	0.04953
2	169336069	rs13021365	1467	2	4	0.180641	0.09364	0.04849	0.002539	0.917	0.05562
2	169336238	rs13013426	1467	2	3	0.203136	0.07826	0.0463	0.001946	0.921	0.09387
2	169336611	rs16855658	1467	3	1	0.074983	0.01681	0.07091	3.835e-05	0.953	0.8141
2	169340339	rs12472310	1467	3	2	0.173142	0.08475	0.04959	0.00199	0.87	0.09027
2	169342337	rs7565629	1467	3	4	0.26244	-0.01248	0.04213	5.995e-05	0.846	0.7688
2	169342388	rs13391857	1467	3	1	0.239605	-0.02186	0.04344	0.0001728	0.997	0.6178
2	169343605	rs17196288	1467	4	2	0.0422631	-0.0669	0.09387	0.0003465	0.616	0.4798
2	169343892	rs13384233	1467	1	4	0.198023	-0.04056	0.04658	0.0005172	0.982	0.3879
2	169345138	rs4668094	1467	2	4	0.490798	-0.04441	0.03767	0.0009477	0.895	0.2425
2	169346239	rs1863146	1467	2	3	0.488753	0.04849	0.03778	0.001123	0.934	0.2032
2	169348553	rs4668097	1467	4	3	0.2621	-0.01724	0.04205	0.0001147	0.877	0.6843
2	169352639	rs17249675	1467	3	1	0.460804	0.04235	0.03632	0.0009275	0.987	0.2476
2	169353972	rs11687166	1467	4	1	0.485003	0.05201	0.03766	0.0013	0.999	0.171
2	169354285	rs10514622	1467	1	2	0.485003	0.05201	0.03766	0.0013	0.977	0.171
2	169354394	rs9287898	1467	1	3	0.271984	-0.0259	0.04153	0.0002654	0.858	0.5363
2	169354463	rs10490711	1467	3	4	0.484663	0.05035	0.03769	0.001217	0.927	0.1853
2	169355661	rs2042549	1467	1	3	0.0838446	0.07077	0.06761	0.0007472	0.533	0.2994
2	169355794	rs13408222	1467	1	4	0.0555556	-0.1045	0.08033	0.001154	0.804	0.1971
2	169356053	rs10930335	1467	3	1	0.0800954	-0.11	0.06628	0.001876	0.946	0.09996
2	169356172	rs10184648	1467	3	1	0.0558964	-0.1036	0.08013	0.00114	0.823	0.1999
2	169356564	rs10185062	1467	3	1	0.0565781	-0.0942	0.07974	0.0009515	0.836	0.2415
2	169356768	rs10174264	1467	4	2	0.0167007	0.2677	0.1422	0.002413	0.58	0.06209
2	169358006	rs9287900	1467	4	2	0.0460123	0.0207	0.08822	3.758e-05	0.812	0.816
2	169360190	rs6715474	1467	3	1	0.0565781	-0.1108	0.07923	0.001334	0.878	0.1655
2	169361670	rs1424938	1467	2	4	0.0201091	-0.09088	0.1329	0.000319	0.591	0.4978
2	169362146	rs9678712	1467	2	4	0.0432856	-0.01376	0.09056	1.576e-05	0.862	0.8802
2	169362418	rs918957	1467	3	4	0.104294	-0.06602	0.06039	0.000815	0.876	0.2784
2	169362525	rs6752810	1467	2	3	0.101909	-0.0871	0.06129	0.001377	0.953	0.1588
2	169362708	rs9678022	1467	1	3	0.0436264	-0.01251	0.09026	1.312e-05	0.918	0.8906
2	169362918	rs7601307	1467	2	4	0.411725	0.01323	0.03674	8.854e-05	0.999	0.7209
2	169363097	rs7562607	1467	2	4	0.486367	0.01711	0.03579	0.000156	0.998	0.6354
2	169363400	rs4667586	1467	1	3	0.0194274	0.2397	0.135	0.002147	0.578	0.07843
2	169363981	rs10185466	1467	4	3	0.0163599	0.01159	0.1468	4.256e-06	0.441	0.9376
2	169365847	rs918956	1467	3	2	0.121677	-0.03459	0.0568	0.0002531	0.884	0.5459
2	169369388	rs8179552	1467	1	3	0.0184049	0.2377	0.1386	0.002005	0.57	0.08905
2	169371748	rs6719331	1467	2	1	0.0163599	0.01159	0.1468	4.256e-06	0.436	0.9376
2	169372076	rs2161977	1467	4	3	0.0800954	0.05702	0.06879	0.0004688	0.683	0.4111
2	169372217	rs4668098	1467	1	3	0.137696	-0.02608	0.05435	0.0001571	0.79	0.6342
2	169373498	rs1863144	1467	1	3	0.062713	0.05922	0.07606	0.0004136	0.777	0.4401
2	169377255	rs2288188	1467	3	4	0.0419223	-0.02953	0.0926	6.94e-05	0.927	0.7518
2	169377398	rs2288187	1467	3	1	0.0419223	-0.02953	0.0926	6.94e-05	0.925	0.7518
2	169379512	rs11900907	1467	4	2	0.341854	0.03846	0.03843	0.0006835	0.998	0.3209
2	169381564	rs6709565	1467	3	1	0.497955	-0.0009676	0.03614	4.892e-07	0.874	0.9788
2	169388271	rs11675308	1467	1	2	0.117928	0.06357	0.05712	0.0008445	0.994	0.2699
2	169388542	rs10490709	1467	3	1	0.0558964	-0.1262	0.0791	0.001734	0.997	0.1138
2	169388574	rs10490708	1467	1	3	0.325153	0.03695	0.03924	0.0006049	0.883	0.3504
2	169390772	rs7575369	1467	2	3	0.0705521	-0.09495	0.07219	0.00118	0.97	0.1922
2	169391691	rs1424937	1467	1	3	0.486026	0.003823	0.03605	7.676e-06	0.872	0.9162
2	169392519	rs3845723	1467	3	4	0.426721	0.02154	0.03729	0.0002277	0.793	0.5668
2	169395444	rs10191413	1467	3	2	0.0565781	-0.118	0.07824	0.001551	0.996	0.1348
2	169397594	rs11681255	1467	2	4	0.499318	-0.000691	0.03643	2.456e-07	0.71	0.985
2	169399419	rs2288186	1467	3	1	0.477164	-0.01115	0.03708	6.176e-05	0.68	0.7655
2	169400438	rs918955	1467	4	2	0.0565781	-0.118	0.07824	0.001551	0.896	0.1348
2	169405690	rs7558531	1467	3	1	0.329925	0.04334	0.03955	0.0008192	0.643	0.2772
2	169405877	rs12478004	1467	2	4	0.473756	-0.01219	0.03715	7.353e-05	0.635	0.7448
2	169407991	rs16855727	1467	2	4	0.0886162	-0.1451	0.0653	0.00336	0.714	0.02766
2	169408656	rs6754773	1467	3	1	0.490457	0.0003307	0.03699	5.456e-08	0.607	0.9929
2	169412139	rs12988358	1467	3	2	0.487048	0.004463	0.03725	9.798e-06	0.579	0.9054
2	169413702	rs17251018	1467	3	1	0.423313	-0.02107	0.03768	0.0002134	0.913	0.5793
2	169415205	rs2390731	1467	3	1	0.0528289	-0.07192	0.08043	0.0005455	0.466	0.3752
2	169416754	rs6708434	1467	1	3	0.0156783	0.1791	0.1498	0.0009751	0.31	0.2358
2	169419145	rs6717260	1467	4	3	0.0170416	0.2283	0.1438	0.001717	0.326	0.1156
2	169420054	rs11691755	1467	1	3	0.0153374	-0.03911	0.1481	4.76e-05	0.504	0.7934
2	169420088	rs7585751	1467	4	2	0.0599864	-0.05465	0.07651	0.0003481	0.515	0.4788
2	169420122	rs6433088	1467	3	1	0.0620314	-0.07538	0.0755	0.0006799	0.531	0.3222
2	169423175	rs4668102	1467	2	4	0.443081	0.06512	0.03639	0.002181	0.98	0.0761
2	169424936	rs13390393	1467	4	3	0.102931	0.03336	0.06023	0.0002094	0.988	0.5828
2	169428255	rs7584527	1467	2	3	0.294819	0.04619	0.03949	0.0009328	0.997	0.2462
2	169428555	rs4668103	1467	1	3	0.202113	0.004345	0.04513	6.326e-06	0.997	0.9239
2	169431474	rs2390732	1467	3	1	0.398773	0.06006	0.03642	0.001852	0.924	0.1022
2	169433109	rs3843327	1467	2	3	0.296864	0.05018	0.03952	0.001099	0.916	0.2081
2	169435739	rs3845724	1467	1	3	0.41786	0.07099	0.03574	0.002686	0.908	0.049
